"id","name","description","avatar","url","isArchived","isBlogger","subscribers","er","malePercent","views","cpv","postPrice","categoryId","lastUpdateDateTime"
cl8powt1d0014bqe5k2u32ir1,Edu.uz — DTM.uz — Abituriyentlar.uz — Oliygoh.uz — Abt.uz — Taʼlim kanallar — Xushnudbek.uz — xabar,- Ta'limga oid eng tezkor xabar va yangiliklar!📩 @DTMreklamaUshbu kanalda abituriyentlar uchun edu.uz dtm.uz xushnudbek.uz kabi taʼlimga oid rasmiy manbalardagi xabarlar sodda tilda yoritiladi.,//static10.tgstat.ru/channels/_0/8a/8af36f65589b23173d30b473709b7b81.jpg,https://t.me/eduuz_DTMuzb_abituriyent_oliygoh,true,true,651404,6,0,41042,0,0.0,"3",2022-11-12 19:23:58.182
cl8powt3u0056bqe54nr49eks,VideoUZ 🎥,"","",https://t.me/ZurTV,true,true,511270,0,0,0,0,2240.0,"",2022-11-12 19:23:58.182
cl8powt4r0094bqe5ed309h9d,Shopirlar 🚗🚘,"⭐ Фақат энг сўнги хабарлар, Долзарб мавзулар, биз билан умуман зерикмайсиз

Янгиликлар бўлса бизга юборинг,  биз каналга чиқарамиз 👉 @shopirlaraloqabot

Реклама бўйича 👉 @AndAdmin",http://75.119.148.52/fbda18c368768a4e6508b156f77abe190319d7dd.jpg,https://t.me/shopirlar,true,true,482619,29,0,142042,0,5709.33,"5",2022-11-12 19:23:58.182
cl8powt510108bqe5w00wzsy6,Telegram_Yulduzlari| Расмий канал,"🇺🇿КАТТАЛАР УЧУН👍🏻
Хар куни мамлакатлар билан боғлиқ қизиқарли Видео, Фото, Хабарлар!
Everyday Interesting, Videos and Photos!
_
Воқеа ва ходисага гувоҳ бўлдингизми 👀
бизга юборинг, биз каналга чиқарамиз 
@TYUZBEKADMIN👇🏻
Spamlar : @TYUZBEKADMIN_bot",http://75.119.148.52/c38f2ea3502f2348ba32210302272ea77a1b316c.jpg,https://t.me/tyuzbek,true,true,462106,29,75,133974,0,0.0,"5",2022-11-12 19:23:58.182
cl8powt6b0134bqe5mqd9t3jm,PATRUL UZ | РАСМИЙ КАНАЛ,"Расмий «ПАТРУЛ УЗ» каналига хуш келибсиз!

Фақат янги, долзарб мавзулар!

http://myurls.co/patruluz

Янгиликлар бўлса бизга юборинг, биз каналга чиқарамиз: @Patrul_Aloqabot

Реклама: @Patrul_Admin",//static3.tgstat.ru/channels/_0/a1/a1113761fad8b4f8ef92b4bc91a52e2e.jpg,https://t.me/patrul_uz,true,true,448182,21,72,92558,0,5226.67,"7",2022-11-12 19:23:58.182
cl8powt6q0148bqe5ibij41xa,Xushnudbek.uz,"Ҳуқуқшунос Хушнудбек Худойбердиевнинг Телеграм каналига хуш келибсиз!

•youtube.com/c/xushnudbekxudoyberdiyev

•fb.com/xushnudjohn

•twitter.com/xushnudbeck

•instagram.com/xushnudbek

•tiktok.com/@xushnudbekofficial

Реклама учун:
@xushnudbekreklama",http://75.119.148.52/e0ba42e669e06d18b5eb4d5cc4154c2a48254bf0.jpg,https://t.me/xushnudbek,true,true,436556,35,76,152684,0,2141.33,"5",2022-11-12 19:23:58.182
cl8powt750160bqe57zsip65t,Abdulloh domla Maruzalar,Birovga yomonlik qilayotganingizda ALLOH ni eslang biz bilmasak ham u ko'rib turibti 😊Yaqinlaringizni sog'lig'ini o'ylang! 🤲...,//static9.tgstat.ru/channels/_0/d4/d471b784025f5716c651199d49dd1498.jpg,https://t.me/Abdulloh_ilmnuri_maruzalar_domla,true,true,389209,3,0,11035,0,0.0,"8",2022-11-12 19:23:58.182
cl8powt850200bqe5wjnazm00,Namanganliklar.Uz,"🇺🇿🇹🇷 Телеграмда энг биринчи очилган «NAMANGANLIKLAR» каналидасиз!

Хар қандай мурожаат ва таклифларни ушбу
👉 @NamGroupBot манзилимизга юборинг

Реклама бўлими: 
👉 @Nam_Group",http://75.119.148.52/7396e22225e95863354359a16da592706261dd11.jpg,https://t.me/namanganliklar_uz,true,true,374574,3,0,10899,0,4569.33,"5",2022-11-12 19:23:58.182
cl8powt5b0120bqe5fj2np4j4,Водий бозор,"“Водий бозор” телеграм каналига хуш келибсиз!

Реклама бўйича👉 @vbadminbozor га ёзинг

Тезкор видео ва янгиликлар бўлса бизга юборинг👉 @VodiyBozorAloqaBot

Ўзбекистондаги савдо сотиқ ва бизнес йўналишидаги энг кўп аъзога эга расмий канал!",http://75.119.148.52/246aa49c005e2418ea2695f72701ad39fab393c6.jpg,https://t.me/vodiybozor,true,true,448288,27,0,123204,0,0.0,,2022-11-12 19:23:58.182
cl8powt0c0000bqe5zulg30rz,MOSHINA BOZOR l Rasmiy Kanal,"✅ Телеграм тармоғидаги Автомобиллар учун энг оммабоп  савдо канали ""MOSHINA BOZOR""га хуш келибсиз

📝 Эълон бериш учун: @Yutouz_Admin га ёзинг

 Эълон бериш ПУЛЛИК!

Kvartira ijarasi - @Kvartira

Namoz vaqtlari - @Abuhurayrabot",//static7.tgstat.ru/channels/_0/22/229796c9416d0f85add2a9630f4e38a5.jpg,https://t.me/moshina,true,true,216276,3,0,1549628,0,0.0,"2",2022-11-12 20:45:03.232
cl8powt8h0212bqe5yqo3uecq,Shukurullo domla Maruzalari,Шукурулло домланинг телеграм канали Мухлислар Томонидан Очилган Канал Бу каналда Шукурулло Домлани Енг Янги Марузалари бериб борилади!Ⓜ️anba ➤ @ISLOM_YULDUZI ✔️,//static3.tgstat.ru/channels/_0/66/66fe32854ea1d2df39c693b4229a62f1.jpg,https://t.me/SHukrullo_domla_Solihon_domla_uz,true,true,367453,3,0,10964,0,0.0,"8",2022-11-12 19:23:58.182
cl8powta00250bqe5sihrg48m,Sara xabar | Rasmiy kanal,❗Фақат энг муҳим хабарлар!!!Ўзбекистон ва жахон янгиликлари.Реклама: @Saraxabar_adm1n,//static10.tgstat.ru/channels/_0/fc/fcf20b04b6ec34fdf5dde075976c8a2d.jpg,https://t.me/Xabaruz_Rasmiy,true,true,343526,6,0,21547,0,6133.33,"9",2022-11-12 19:23:58.182
cl8powtad0264bqe57ywnsuqa,MILITSIYA UZB | Расмий канал,Расмий «Милиция Узб» каналига хуш келибсиз! ⚡️Фақат янги мавзулар!Instagram.com/Militsiya_rasmiyТаклиф ва мурожаатлар: @Militsiya_Uzbbot💰Реклама учун: @Militsiya_Admin,//static4.tgstat.ru/channels/_0/9f/9fdefb4005919025271ac8c663518c42.jpg,https://t.me/MILITSIYA_UZB,true,true,343076,30,0,103968,0,5973.33,"",2022-11-12 19:23:58.182
cl8powtap0276bqe5lbc18aw8,⚽️ FUTBOL BUGUN (RASMIY),👉 @FUTBOLBUGUN Biz Sizga Har Kuni Taqdim Etamiz !!! 👇 🗞 Yangiliklar  ⚽️ Onlayn Gollar✅ Natijalar 📊 Turnir Jadvallari 📉 Statistkalar 📸 Fotolar 🎥 Video Roliklar,//static3.tgstat.ru/channels/_0/bd/bd0bb61fd45b99c869f42ff410f158ef.jpg,https://t.me/UZSPORT_TV_FUDBOLTVHD,true,true,333616,10,0,33068,0,0.0,"7",2022-11-12 19:23:58.182
cl8powtcf0288bqe5q9ihpwy2,FC BARCELONA (RASMIY),🇪🇸 Barcelona 🇺🇿 klubining O'zbekistondagi muxlislari uchun ochilgan maxsus sahifasi❗️🗞 Yangiliklar  ⚽️ Onlayn Gollar📸 Fotolar 🎥 Video Roliklar🖥 Onlayn Translyatsiya,//static3.tgstat.ru/channels/_0/55/5562a540082b4d0fab7060d9241956f3.jpg,https://t.me/BARCELONA_BARSA_BARSELONA_BARCA,true,true,324075,4,0,13690,0,0.0,"7",2022-11-12 19:23:58.182
cl8powtcp0300bqe5hbd67c6j,Abdulloh domla Maruzalari (ilmnuri),"Абдуллоҳ Домла Маърузалари каналига Ҳуш келибсиз""Abdulloh Domla Ma'ruzalari (Ilmnuri)"" канали фақат расмий манбалар асосида фаолият олиб борилади.",//static2.tgstat.ru/channels/_0/70/70827fc730870610b57d081b3f2d4023.jpg,https://t.me/Abdulloh_maruzalar_ilmnuri_domla,true,true,324026,3,0,10249,0,0.0,"3",2022-11-12 19:23:58.182
cl8powtcz0312bqe5jz6jsizp,⚽️ TransferlarFT | RASMIY,"⚽️Transferlar ""FT""  rasmiy kanali eng so'nggi transfer yangiliklarini eng birinchilardan bo'lib sizga yetkazib boradi✅Reklama uchun kanallar: @BrendFTReklama menejeri: @MenedjerX",//static4.tgstat.ru/channels/_0/eb/ebfb7d81417a34c4c74aa2679f0212c1.jpg,https://t.me/Transferlari_Futbol_Transferlar,true,true,323460,3,0,10676,0,2933.33,"7",2022-11-12 19:23:58.182
cl8powtda0324bqe5nh08xxx2,O'zbekiston 24,"🌐Ўзбекистон ва Жаҳондаги муҳим воқеалар, энг тезкор хабарлар

Воқеа ёки ҳодисанинг гувоҳи бўлдингизми?
Унда бизга йуборинг  👉 @Umarov_Shoxjaxon

Реклама учун: 👉 @Reklama_xizmati4343
  
Реклама нархлари👇
https://telegram.me/joinchat/U0zM8Fm-Fi_TeZMS",http://75.119.148.52/7ceef79c72a4730ddf19951c14a5ba404143bfa8.jpg,https://t.me/ozbekistonn_tyuzbekk_unchamuncha,true,true,318989,15,0,49427,0,3212.0,"5",2022-11-12 19:23:58.182
